Subsidiary,Brand,Industry,Month,Media Category,Media Type,Program Name,Distributor,Dollars 
CAMPBELL SOUP CO,CAMPBELLS GREAT FOR COOKING SOUP-CONDENSED,FOODS & FOOD PRODUCTS,January 2025,Television,Cable TV,HOUSE OF PAYNE,BET,"$1,552"
RAOS SPECIALTY FOODS INC,RAOS HOMEMADE PASTA SAUCE,FOODS & FOOD PRODUCTS,September 2025,Television,Network TV,BONES SA 12P,MYS,$603
RAOS SPECIALTY FOODS INC,RAOS HOMEMADE PASTA SAUCE,FOODS & FOOD PRODUCTS,September 2024,Television,Network TV,BONES SA 8P,MYS,$547
CAMPBELL SOUP CO,CAMPBELLS SOUP-CONDENSED,FOODS & FOOD PRODUCTS,March 2025,Television,Cable TV,HOME TOWN TAKEOVER,HGTV,"$38,580"
CAMPBELL SOUP CO,CAMPBELLS SOUP-CONDENSED,FOODS & FOOD PRODUCTS,December 2024,Television,Spot TV,GMA FIRST LOOK,MNOE,$169
CAMPBELL SOUP CO,CAMPBELLS CHUNKY SOUP-RTS,FOODS & FOOD PRODUCTS,November 2024,Television,Cable TV,COLLEGE BKBL REG SSN    L,ESPN2,"$8,896"
CAMPBELL SOUP CO,CAMPBELLS SOUP-CONDENSED,FOODS & FOOD PRODUCTS,December 2025,Television,Spot TV,MOTOWN CHRISTMAS,WICU,"$1,231"
CAMPBELL SOUP CO,CAMPBELLS SOUP-CONDENSED,FOODS & FOOD PRODUCTS,September 2024,Television,Cable TV,TBS MOVIE,TBSC,"$6,492"
RAOS SPECIALTY FOODS INC,RAOS HOMEMADE PASTA SAUCE,FOODS & FOOD PRODUCTS,October 2025,Television,Cable TV,SEND IN THE CLOWNS MARA,IFC,"$1,990"
RAOS SPECIALTY FOODS INC,RAOS HOMEMADE PASTA SAUCE,FOODS & FOOD PRODUCTS,December 2025,Television,Network TV,COUPLES COURT M-F 9A,BOU,$236
CAMPBELL SOUP CO,CAMPBELLS SOUP-CONDENSED,FOODS & FOOD PRODUCTS,October 2024,Television,Cable TV,STRANGE EVIDENCE,DISC,$49
RAOS SPECIALTY FOODS INC,RAOS HOMEMADE PASTA SAUCE,FOODS & FOOD PRODUCTS,August 2024,Television,Network TV,DENNIS/MENACE MF 1030A,ANT,$149
CAMPBELL SOUP CO,CAMPBELLS SOUP-CONDENSED,FOODS & FOOD PRODUCTS,February 2024,Television,Cable TV,SEE NO EVIL,ID,$367
